program; run; cpus; duration;
mopp-2018-t3-himeno-float64; 1; 1; 405339459
mopp-2018-t3-himeno-float64; 1; 2; 217230009
mopp-2018-t3-himeno-float64; 1; 4; 123520496
mopp-2018-t3-himeno-float64; 1; 8; 80409311
mopp-2018-t3-himeno-float64; 1; 14; 53948894
mopp-2018-t3-himeno-float64; 1; 16; 87745507
mopp-2018-t3-himeno-float64; 1; 24; 61987204
mopp-2018-t3-himeno-float64; 1; 28; 52696269
mopp-2018-t3-himeno-float64; 1; 32; 79188169
mopp-2018-t3-himeno-float64; 1; 48; 70416636
mopp-2018-t3-himeno-float64; 1; 56; 48210225
