https://cds-lab.pages.se-gitlab.inf.tu-dresden.de/cds-s-2021/cds-website/logs/c75cb293de1ed36a6bb94494fd0b3b8f3b23c2290f5a165617ce8b8dc5681fe8/2021-04-23T00:16:49+02:00.html
program; run; cpus; duration;
mopp-2018-t3-himeno-float64; 1; 1; 332316651
mopp-2018-t3-himeno-float64; 1; 2; 172109778
mopp-2018-t3-himeno-float64; 1; 4; 95613348
mopp-2018-t3-himeno-float64; 1; 8; 70616958
mopp-2018-t3-himeno-float64; 1; 14; 48011399
mopp-2018-t3-himeno-float64; 1; 16; 79650644
mopp-2018-t3-himeno-float64; 1; 24; 39461656
mopp-2018-t3-himeno-float64; 1; 28; 36865724
mopp-2018-t3-himeno-float64; 1; 32; 62776106
mopp-2018-t3-himeno-float64; 1; 48; 53653874
mopp-2018-t3-himeno-float64; 1; 56; 31515770
