program; run; cpus; duration;
mopp-2018-t3-himeno-float64; 1; 1; 290681623
mopp-2018-t3-himeno-float64; 1; 2; 153281068
mopp-2018-t3-himeno-float64; 1; 4; 86035134
mopp-2018-t3-himeno-float64; 1; 8; 66403959
mopp-2018-t3-himeno-float64; 1; 14; 42816505
mopp-2018-t3-himeno-float64; 1; 16; 68239913
mopp-2018-t3-himeno-float64; 1; 24; 35727481
mopp-2018-t3-himeno-float64; 1; 28; 28342747
mopp-2018-t3-himeno-float64; 1; 32; 51503004
mopp-2018-t3-himeno-float64; 1; 48; 43270658
mopp-2018-t3-himeno-float64; 1; 56; 23346145
